Random seed: "--seed={ 0xe0b55206, 0x2d753027, 0xe4e071ba, 0x95eae222, 0x2e030bba, 0x7126a020, 0xd34875e8, 0x9db04630, 0xc48eda55, 0xd0e42016, 0xff057a18, 0x1b9242a2 }"
# variant=lvl1 response_length=126 max_candidates=0
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
79,225,0,225,50,16,34,0,32.00000000,1
80,375,0,375,54,16,38,0,29.62962963,1
81,189,0,189,60,22,38,0,36.66666667,1
82,175,0,175,92,28,64,0,30.43478261,1
83,243,0,243,124,40,84,0,32.25806452,1
84,135,0,135,62,26,36,0,41.93548387,1
85,315,0,315,54,22,32,0,40.74074074,1
86,135,0,135,66,24,42,0,36.36363636,1
87,225,0,225,62,20,42,0,32.25806452,1
88,225,0,225,76,30,46,0,39.47368421,1
89,135,0,135,62,22,40,0,35.48387097,1
90,375,0,375,64,24,40,0,37.50000000,1
91,225,0,225,70,28,42,0,40.00000000,1
92,225,0,225,62,22,40,0,35.48387097,1
93,135,0,135,60,26,34,0,43.33333333,1
94,135,0,135,64,22,42,0,34.37500000,1
95,225,0,225,70,30,40,0,42.85714286,1
96,225,0,225,62,28,34,0,45.16129032,1
97,315,0,315,58,14,44,0,24.13793103,1
98,225,0,225,68,30,38,0,44.11764706,1
99,105,0,105,68,18,50,0,26.47058824,1
100,375,0,375,56,20,36,0,35.71428571,1
101,135,0,135,66,28,38,0,42.42424242,1
102,375,0,375,64,18,46,0,28.12500000,1
103,243,0,243,60,18,42,0,30.00000000,1
104,189,0,189,60,22,38,0,36.66666667,1
105,135,0,135,66,26,40,0,39.39393939,1
106,165,0,165,46,2,44,0,4.34782609,1
107,225,0,225,62,26,36,0,41.93548387,1
108,375,0,375,58,14,44,0,24.13793103,1
109,105,0,105,52,14,38,0,26.92307692,1
110,243,0,243,64,22,42,0,34.37500000,1
111,225,0,225,64,28,36,0,43.75000000,1
112,315,0,315,52,12,40,0,23.07692308,1
113,225,0,225,60,24,36,0,40.00000000,1
114,405,0,405,46,4,42,0,8.69565217,1
115,135,0,135,66,26,40,0,39.39393939,1
116,225,0,225,62,26,36,0,41.93548387,1
117,375,0,375,58,24,34,0,41.37931034,1
118,315,0,315,60,14,46,0,23.33333333,1
119,135,0,135,66,28,38,0,42.42424242,1
120,105,0,105,56,28,28,0,50.00000000,1
121,189,0,189,64,24,40,0,37.50000000,1
122,375,0,375,66,28,38,0,42.42424242,1
123,189,0,189,70,26,44,0,37.14285714,1
124,135,0,135,68,28,40,0,41.17647059,1
125,225,0,225,56,18,38,0,32.14285714,1
126,315,0,315,68,24,44,0,35.29411765,1
127,189,0,189,66,28,38,0,42.42424242,1
128,125,0,125,56,30,26,0,53.57142857,1
129,147,0,147,52,20,32,0,38.46153846,1
130,135,0,135,64,24,40,0,37.50000000,1
131,189,0,189,68,24,44,0,35.29411765,1
132,375,0,375,66,28,38,0,42.42424242,1
133,225,0,225,68,30,38,0,44.11764706,1
134,225,0,225,62,24,38,0,38.70967742,1
135,105,0,105,52,10,42,0,19.23076923,1
136,441,0,441,178,46,132,0,25.84269663,1
137,225,0,225,62,26,36,0,41.93548387,1
138,351,0,351,44,6,38,0,13.63636364,1
139,243,0,243,64,26,38,0,40.62500000,1
140,189,0,189,64,28,36,0,43.75000000,1
141,135,0,135,64,26,38,0,40.62500000,1
142,135,0,135,62,30,32,0,48.38709677,1
143,315,0,315,52,10,42,0,19.23076923,1
144,275,0,275,102,52,50,0,50.98039216,1
145,375,0,375,66,28,38,0,42.42424242,1
146,225,0,225,70,24,46,0,34.28571429,1
147,225,0,225,64,20,44,0,31.25000000,1
148,225,0,225,64,22,42,0,34.37500000,1
149,135,0,135,64,24,40,0,37.50000000,1
150,225,0,225,64,30,34,0,46.87500000,1
151,225,0,225,62,20,42,0,32.25806452,1
152,225,0,225,62,28,34,0,45.16129032,1
153,225,0,225,58,18,40,0,31.03448276,1
154,189,0,189,66,16,50,0,24.24242424,1
155,225,0,225,64,24,40,0,37.50000000,1
156,171,0,171,104,30,74,0,28.84615385,1
157,225,0,225,68,26,42,0,38.23529412,1
158,375,0,375,54,18,36,0,33.33333333,1
159,225,0,225,60,22,38,0,36.66666667,1
160,189,0,189,58,22,36,0,37.93103448,1
161,297,0,297,70,28,42,0,40.00000000,1
162,225,0,225,58,22,36,0,37.93103448,1
163,375,0,375,56,22,34,0,39.28571429,1
164,225,0,225,60,24,36,0,40.00000000,1
165,297,0,297,66,26,40,0,39.39393939,1
166,175,0,175,72,16,56,0,22.22222222,1
167,225,0,225,70,26,44,0,37.14285714,1
168,225,0,225,64,26,38,0,40.62500000,1
169,225,0,225,48,12,36,0,25.00000000,1
170,243,0,243,104,46,58,0,44.23076923,1
171,105,0,105,58,12,46,0,20.68965517,1
172,135,0,135,62,18,44,0,29.03225806,1
173,225,0,225,58,18,40,0,31.03448276,1
174,135,0,135,64,30,34,0,46.87500000,1
175,375,0,375,60,26,34,0,43.33333333,1
176,135,0,135,64,22,42,0,34.37500000,1
177,147,0,147,74,38,36,0,51.35135135,1
178,105,0,105,56,26,30,0,46.42857143,1
179,375,0,375,60,22,38,0,36.66666667,1
180,105,0,105,58,16,42,0,27.58620690,1
181,315,0,315,64,26,38,0,40.62500000,1
182,135,0,135,62,22,40,0,35.48387097,1
183,315,0,315,68,18,50,0,26.47058824,1
184,105,0,105,58,12,46,0,20.68965517,1
185,225,0,225,62,24,38,0,38.70967742,1
186,225,0,225,62,26,36,0,41.93548387,1
187,315,0,315,50,18,32,0,36.00000000,1
188,315,0,315,54,14,40,0,25.92592593,1
189,243,0,243,64,20,44,0,31.25000000,1
190,189,0,189,66,24,42,0,36.36363636,1
191,225,0,225,54,26,28,0,48.14814815,1
192,375,0,375,58,16,42,0,27.58620690,1
193,117,0,117,68,36,32,0,52.94117647,1
194,225,0,225,56,22,34,0,39.28571429,1
195,375,0,375,58,22,36,0,37.93103448,1
196,225,0,225,60,26,34,0,43.33333333,1
197,315,0,315,60,20,40,0,33.33333333,1
198,225,0,225,64,22,42,0,34.37500000,1
199,225,0,225,50,12,38,0,24.00000000,1
200,225,0,225,56,20,36,0,35.71428571,1
201,225,0,225,62,22,40,0,35.48387097,1
202,135,0,135,52,18,34,0,34.61538462,1
203,225,0,225,58,22,36,0,37.93103448,1
204,189,0,189,80,34,46,0,42.50000000,1
205,225,0,225,62,22,40,0,35.48387097,1
206,225,0,225,62,22,40,0,35.48387097,1
207,315,0,315,62,30,32,0,48.38709677,1
208,375,0,375,64,24,40,0,37.50000000,1
209,225,0,225,50,18,32,0,36.00000000,1
210,375,0,375,62,20,42,0,32.25806452,1
211,225,0,225,74,24,50,0,32.43243243,1
212,225,0,225,62,24,38,0,38.70967742,1
213,225,0,225,68,28,40,0,41.17647059,1
214,189,0,189,60,22,38,0,36.66666667,1
215,135,0,135,100,26,74,0,26.00000000,1
216,225,0,225,66,26,40,0,39.39393939,1
217,135,0,135,62,26,36,0,41.93548387,1
218,375,0,375,56,22,34,0,39.28571429,1
219,245,0,245,100,50,50,0,50.00000000,1
220,189,0,189,68,30,38,0,44.11764706,1
221,225,0,225,56,28,28,0,50.00000000,1
222,225,0,225,58,24,34,0,41.37931034,1
223,153,0,153,46,16,30,0,34.78260870,1
224,225,0,225,64,24,40,0,37.50000000,1
225,189,0,189,62,16,46,0,25.80645161,1
226,315,0,315,56,14,42,0,25.00000000,1
227,225,0,225,64,18,46,0,28.12500000,1
228,375,0,375,68,32,36,0,47.05882353,1
229,225,0,225,56,16,40,0,28.57142857,1
230,315,0,315,68,26,42,0,38.23529412,1
231,297,0,297,56,24,32,0,42.85714286,1
232,175,0,175,50,12,38,0,24.00000000,1
233,225,0,225,66,26,40,0,39.39393939,1
234,135,0,135,66,24,42,0,36.36363636,1
235,375,0,375,50,14,36,0,28.00000000,1
236,189,0,189,64,24,40,0,37.50000000,1
237,135,0,135,64,26,38,0,40.62500000,1
238,189,0,189,62,22,40,0,35.48387097,1
239,315,0,315,60,24,36,0,40.00000000,1
240,225,0,225,56,24,32,0,42.85714286,1
241,225,0,225,62,22,40,0,35.48387097,1
242,405,0,405,54,30,24,0,55.55555556,1
243,225,0,225,58,24,34,0,41.37931034,1
244,375,0,375,64,24,40,0,37.50000000,1
245,81,0,81,62,20,42,0,32.25806452,1
246,357,0,357,174,44,130,0,25.28735632,1
247,165,0,165,42,20,22,0,47.61904762,1
248,225,0,225,68,30,38,0,44.11764706,1
249,375,0,375,60,28,32,0,46.66666667,1
