Random seed: "--seed={ 0xe1e60b91, 0x7e2fedf4, 0xc43dcfec, 0xa9496d39, 0xc226c56e, 0x3f13ae3c, 0x7b642335, 0xe6af4bcd, 0x0b13760c, 0x702c4fd7, 0xc4b13aba, 0x2af7421f }"
# variant=lvl1 response_length=156 max_candidates=1000000 max_responses=10000
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
196,>=18446744073709551615,1,35009,10000,3771,6229,0,37.71000000,0
197,>=18446744073709551615,1,42104,10000,3728,6272,0,37.28000000,0
198,>=18446744073709551615,1,35017,10000,3868,6132,0,38.68000000,0
199,>=18446744073709551615,1,34979,10000,3710,6290,0,37.10000000,0
200,>=18446744073709551615,1,35364,10000,3630,6370,0,36.30000000,0
201,>=18446744073709551615,1,39498,10000,3778,6222,0,37.78000000,0
202,>=18446744073709551615,1,42424,10000,3739,6261,0,37.39000000,0
203,>=18446744073709551615,1,35978,10000,3801,6199,0,38.01000000,0
204,>=18446744073709551615,1,37912,10000,3874,6126,0,38.74000000,0
205,>=18446744073709551615,1,35362,10000,3806,6194,0,38.06000000,0
206,>=18446744073709551615,1,38020,10000,3753,6247,0,37.53000000,0
207,>=18446744073709551615,1,35883,10000,3732,6268,0,37.32000000,0
208,>=18446744073709551615,1,37528,10000,3751,6249,0,37.51000000,0
209,>=18446744073709551615,1,38039,10000,3684,6316,0,36.84000000,0
210,>=18446744073709551615,1,33887,10000,3812,6188,0,38.12000000,0
211,>=18446744073709551615,1,39083,10000,3733,6267,0,37.33000000,0
212,>=18446744073709551615,1,36014,10000,3733,6267,0,37.33000000,0
213,>=18446744073709551615,1,37617,10000,3763,6237,0,37.63000000,0
214,>=18446744073709551615,1,44683,10000,3692,6308,0,36.92000000,0
215,>=18446744073709551615,1,34978,10000,3755,6245,0,37.55000000,0
216,>=18446744073709551615,1,39074,10000,3657,6343,0,36.57000000,0
217,>=18446744073709551615,1,34230,10000,3727,6273,0,37.27000000,0
218,>=18446744073709551615,1,39476,10000,3648,6352,0,36.48000000,0
219,>=18446744073709551615,1,39210,10000,3772,6228,0,37.72000000,0
220,>=18446744073709551615,1,37247,10000,3733,6267,0,37.33000000,0
221,>=18446744073709551615,1,40172,10000,3761,6239,0,37.61000000,0
222,>=18446744073709551615,1,35450,10000,3793,6207,0,37.93000000,0
